Nom,Prenom,Identifiant,INE,Groupe TD,Groupe TP,Statuts,Parcours,Bac,Année Bac,Type Bac,Courriel
Normand,Lebreton,nlebreton,8667585pk,1,1,Délégué TP1,,Série générale,2021,,nlebreton@iutbayonne.univ-pau.fr
Cros,Blot,cblot,6613703pk,2,4,Démission,,Série générale,2021,,cblot@iutbayonne.univ-pau.fr
Granger,Verdier,gverdier,2477350pk,1,2,Présent en R2.06 R2.09 R2.10 R2.11 R2.12 R2.13 R2.14 + S2.04 S2.05 S2.06 + P2.01,,ST de l'Ind. et du développement durable,2021,,gverdier@iutbayonne.univ-pau.fr
Jamet,Lebon,jlebon,6427173pk,2,3,,,Série générale,2021,,jlebon@iutbayonne.univ-pau.fr
Gibert,Berthelot,gberthelot,5094160pk,2,4,Présente en R2.08 R2.10 R2.12 R2.13 R2.14 + S2.05 S2.06 + P2.01,,ST de l'Ind. et du développement durable,2021,,gberthelot@iutbayonne.univ-pau.fr
Stephan,Dupre,sdupre,1568440pk,1,1,,,Série générale,2021,,sdupre@iutbayonne.univ-pau.fr
Tellier,Cornu,tcornu,1087554pk,2,3,,,ST de l'Ind. et du développement durable,2021,,tcornu@iutbayonne.univ-pau.fr
Bataille,Vallee,bvallee,1455611pk,1,1,,,S-Scientifique,2020,,bvallee@iutbayonne.univ-pau.fr
Basset,Lesage,blesage,1891109pk,1,1,,,ST de l'Ind. et du développement durable,2021,,blesage@iutbayonne.univ-pau.fr
Toussaint,Camus,tcamus,1182293pk,1,1,,,Série générale,2021,,tcamus@iutbayonne.univ-pau.fr
Merle,Hernandez,mhernandez,8018750pk,2,4,"uniquement R2.07, R2.10,R2.11,R2.12, R2.13,R2.14,S2.05,S2.06,P2.01 + projet Voltaire. En attente de l'accord du SCUIO_IP",,Série générale,2021,,mhernandez@iutbayonne.univ-pau.fr
Jamet,Bigot,jbigot,1644075pk,1,2,,,ST de l'Ind. et du développement durable,2021,,jbigot@iutbayonne.univ-pau.fr
Parent,Begue,pbegue,4628481pk,1,1,,,Série générale,2021,,pbegue@iutbayonne.univ-pau.fr
Hernandez,Peron,hperon,9053181pk,1,1,Tiers-temps,,Série générale,2021,,hperon@iutbayonne.univ-pau.fr
Granger,Guibert,gguibert,5970675pk,2,3,,,Série générale,2021,,gguibert@iutbayonne.univ-pau.fr
Ferreira,Berthelot,fberthelot,621913pk,2,4,"Uniquement R2.02, R2.06, R2.08, R2.10, R2.11, R2.12, R2.13, R2.14, S2.01, S2.05, S2;06, P2.01, projet Voltaire",,ST de l'Ind. et du développement durable,2021,,fberthelot@iutbayonne.univ-pau.fr
Pujol,Barbe,pbarbe,9857177pk,1,1,,,Série générale,2021,,pbarbe@iutbayonne.univ-pau.fr
Salmon,Laroche,slaroche,9754164pk,1,2,,,Série générale,2021,,slaroche@iutbayonne.univ-pau.fr
Levy,Levy,llevy,6221934pk,1,1,,,Série générale,2021,,llevy@iutbayonne.univ-pau.fr
Comte,Labbe,clabbe,1904833pk,2,4,Arrivée à l'IUT le 27/09/2021.,,0031-titre étranger admis en équivalence,2021,,clabbe@iutbayonne.univ-pau.fr
Mouton,Maurin,mmaurin,9371922pk,2,4,,,Série générale,2021,,mmaurin@iutbayonne.univ-pau.fr
Jolly,Chauvet,jchauvet,1310159pk,1,1,"uniquement R2.10 , R2.11, R2.12, R2.13 Portfolio P201 +SAE S2.05 et S2.06 + Voltaire",,ST de l'Ind. et du développement durable,2021,,jchauvet@iutbayonne.univ-pau.fr
Chatelain,Bouvet,cbouvet,1457493pk,2,3,"Délégué TP4 uniquement R2.08, R2.10,R2.11,R2.12, R2.13,R2.14,S2.05,S2.06,P2.01 + projet Voltaire",,ST de l'Ind. et du développement durable,2021,,cbouvet@iutbayonne.univ-pau.fr
Jung,Didier,jdidier,6138148pk,1,1,,,ST de l'Ind. et du développement durable,2021,,jdidier@iutbayonne.univ-pau.fr
