Nom,Prenom,Identifiant,INE,Groupe TD,Groupe TP,Statuts,Parcours,Bac,Année Bac,Type Bac,Courriel
Perret,David,pdavid,2913635pk,1,1,,,ST de l'Ind. et du développement durable,2021,,pdavid@iutbayonne.univ-pau.fr
Peron,Rousseau,prousseau,4218610pk,2,3,Tiers-temps. Campus France. Arrivée en France le 09/09/2021.,,0031-titre étranger admis en équivalence,2020,,prousseau@iutbayonne.univ-pau.fr
Marquet,Gay,mgay,8335160pk,2,4,Démission,,S-Scientifique,2020,,mgay@iutbayonne.univ-pau.fr
Besse,Pelletier,bpelletier,3262896pk,2,4,Tiers-temps,,Série générale,2021,,bpelletier@iutbayonne.univ-pau.fr
Mounier,Gilbert,mgilbert,1887747pk,1,1,,,Série générale,2021,,mgilbert@iutbayonne.univ-pau.fr
Chatelain,Fabre,cfabre,9073989pk,3,5,,,Série générale,2021,,cfabre@iutbayonne.univ-pau.fr
Constant,Julien,cjulien,8025878pk,1,2,,,ST de l'Ind. et du développement durable,2021,,cjulien@iutbayonne.univ-pau.fr
Thibault,Robin,trobin,650126pk,2,3,,,Série générale,2021,,trobin@iutbayonne.univ-pau.fr
Brault,Carre,bcarre,1188762pk,1,1,,,Série générale,2021,,bcarre@iutbayonne.univ-pau.fr
Lagarde,Meunier,lmeunier,6672714pk,3,5,,,Série générale,2021,,lmeunier@iutbayonne.univ-pau.fr
Rossi,Pelletier,rpelletier,1726883pk,2,4,Tiers-temps + PC portable,,ST de l'Ind. et du développement durable,2021,,rpelletier@iutbayonne.univ-pau.fr
Constant,Marchand,cmarchand,3427103pk,2,3,Tiers-temps. Campus France. Arrivée à l'IUT le 10/09/2021.,,0031-titre étranger admis en équivalence,2017,,cmarchand@iutbayonne.univ-pau.fr
Normand,Robin,nrobin,3275515pk,1,2,,,ST de l'Ind. et du développement durable,2021,,nrobin@iutbayonne.univ-pau.fr
Pascal,Morel,pmorel,6813100pk,3,5,,,Série générale,2021,,pmorel@iutbayonne.univ-pau.fr
Provost,Jacquet,pjacquet,4613143pk,2,3,,,0021-bacs professionnels industriels,2018,,pjacquet@iutbayonne.univ-pau.fr
Berthelot,Mercier,bmercier,9217263pk,1,2,,,Série générale,2021,,bmercier@iutbayonne.univ-pau.fr
Pascal,Brun,pbrun,2848565pk,2,3,Délégué TP3,,ST de l'Ind. et du développement durable,2021,,pbrun@iutbayonne.univ-pau.fr
Moulin,Rolland,mrolland,5532390pk,2,4,red. 1A,,ST de l'Ind. et du développement durable,2020,,mrolland@iutbayonne.univ-pau.fr
Perret,Perez,pperez,7731307pk,1,1,Délégué TP1,,Série générale,2021,,pperez@iutbayonne.univ-pau.fr
Claude,Boulanger,cboulanger,7656933pk,,,Démission,,Série générale,2021,,cboulanger@iutbayonne.univ-pau.fr
Gueguen,Bailly,gbailly,342728pk,1,2,Présent en R2.06 R2.09 R2.10 R2.11 R2.12 R2.13 R2.14 + S2.04 S2.05 S2.06 + P2.01,,ST de l'Ind. et du développement durable,2021,,gbailly@iutbayonne.univ-pau.fr
Gueguen,Carpentier,gcarpentier,5853324pk,1,1,,,Série générale,2021,,gcarpentier@iutbayonne.univ-pau.fr
Cornu,Bailly,cbailly,2941975pk,1,2,Présente en R2.08 R2.10 R2.12 R2.13 R2.14 + S2.05 S2.06 + P2.01,,ST de l'Ind. et du développement durable,2021,,cbailly@iutbayonne.univ-pau.fr
Le Goff,Jacquet,ljacquet,7487900pk,3,5,,,Série générale,2021,,ljacquet@iutbayonne.univ-pau.fr
Gaillard,Dumont,gdumont,9168244pk,2,3,,,ST de l'Ind. et du développement durable,2021,,gdumont@iutbayonne.univ-pau.fr
Weiss,Klein,wklein,1898753pk,1,1,,,S-Scientifique,2020,,wklein@iutbayonne.univ-pau.fr
Dijoux,Vincent,dvincent,6781556pk,2,3,,,ST de l'Ind. et du développement durable,2021,,dvincent@iutbayonne.univ-pau.fr
Weiss,Millet,wmillet,2668342pk,3,5,,,Série générale,2021,,wmillet@iutbayonne.univ-pau.fr
Castel,Thomas,cthomas,1559971pk,1,2,"uniquement R2.07, R2.10,R2.11,R2.12, R2.13,R2.14,S2.05,S2.06,P2.01 + projet Voltaire. En attente de l'accord du SCUIO_IP",,Série générale,2021,,cthomas@iutbayonne.univ-pau.fr
Bazin,Benoit,bbenoit,4581532pk,2,3,,,ST de l'Ind. et du développement durable,2021,,bbenoit@iutbayonne.univ-pau.fr
Mangin,Marechal,mmarechal,8272173pk,1,1,,,Série générale,2021,,mmarechal@iutbayonne.univ-pau.fr
Weiss,Francois,wfrancois,2049074pk,3,5,Tiers-temps,,Série générale,2021,,wfrancois@iutbayonne.univ-pau.fr
Tournier,Remy,tremy,7646229pk,2,3,,,Série générale,2021,,tremy@iutbayonne.univ-pau.fr
Prigent,Maillard,pmaillard,6344035pk,1,2,"Uniquement R2.02, R2.06, R2.08, R2.10, R2.11, R2.12, R2.13, R2.14, S2.01, S2.05, S2;06, P2.01, projet Voltaire",,ST de l'Ind. et du développement durable,2021,,pmaillard@iutbayonne.univ-pau.fr
Bonnin,Gautier,bgautier,7802394pk,1,2,,,Série générale,2021,,bgautier@iutbayonne.univ-pau.fr
Brunel,Louis,blouis,451647pk,1,1,,,Série générale,2021,,blouis@iutbayonne.univ-pau.fr
Bellanger,Philippe,bphilippe,8146356pk,3,5,,,Série générale,2021,,bphilippe@iutbayonne.univ-pau.fr
Lacour,Le Goff,lle goff,6205944pk,2,4,Arrivée à l'IUT le 27/09/2021.,,0031-titre étranger admis en équivalence,2021,,lle goff@iutbayonne.univ-pau.fr
Lepage,Denis,ldenis,4063197pk,3,5,,,Série générale,2021,,ldenis@iutbayonne.univ-pau.fr
Olivier,Carpentier,ocarpentier,958505pk,2,4,"uniquement R2.10 , R2.11, R2.12, R2.13 Portfolio P201 +SAE S2.05 et S2.06 + Voltaire",,ST de l'Ind. et du développement durable,2021,,ocarpentier@iutbayonne.univ-pau.fr
Benoist,Petit,bpetit,8615275pk,2,4,"Délégué TP4 uniquement R2.08, R2.10,R2.11,R2.12, R2.13,R2.14,S2.05,S2.06,P2.01 + projet Voltaire",,ST de l'Ind. et du développement durable,2021,,bpetit@iutbayonne.univ-pau.fr
Blanchet,Lamy,blamy,4125256pk,1,1,,,ST de l'Ind. et du développement durable,2021,,blamy@iutbayonne.univ-pau.fr
