Nom;Prenom;Identifiant;INE;Groupe TD;Groupe TP;Statuts;Parcours;Bac;Année Bac;Type Bac;Courriel;;
Tellier;Pichon;tpichon;7252088pk;1;2;Démission;06, P2.01, projet Voltaire;;ST de l'Ind. et du développement durable;2021;tpichon@iutbayonne.univ-pau.fr;;
Brault;Michel;bmichel;3745426pk;1;2;;;Série générale;2021;;bmichel@iutbayonne.univ-pau.fr;;
Lombard;Giraud;lgiraud;7455629pk;1;1;;;Série générale;2021;;lgiraud@iutbayonne.univ-pau.fr;;
Maurin;Chevallier;mchevallier;2386365pk;3;5;;;Série générale;2021;;mchevallier@iutbayonne.univ-pau.fr;;
Loiseau;Fernandez;lfernandez;7791014pk;2;4;Arrivée à l'IUT le 27/09/2021.;;0031-titre étranger admis en équivalence;2021;;lfernandez@iutbayonne.univ-pau.fr;;
Hoffmann;Gilbert;hgilbert;3555105pk;3;5;;;Série générale;2021;;hgilbert@iutbayonne.univ-pau.fr;;
Geoffroy;Leveque;gleveque;6059287pk;2;4;Démission;;ST de l'Ind. et du développement durable;2021;;gleveque@iutbayonne.univ-pau.fr;;
Bourgeois;Gillet;bgillet;4497273pk;2;4;Délégué TP4 Démission;;ST de l'Ind. et du développement durable;2021;;bgillet@iutbayonne.univ-pau.fr;;
Berthelot;Martinez;bmartinez;1044365pk;1;1;;;ST de l'Ind. et du développement durable;2021;;bmartinez@iutbayonne.univ-pau.fr;;
Jean;Yves;jyves;1044385pk;1;1;pc portable;;ST de l'Ind. et du développement durable;2021;;jyves@iutbayonne.univ-pau.fr;;
JOUVE;Noé;;;1;1;"Tiers temps, Ordinateur, Démissionnaire";;;;;esgerlkgre@grelngerg.com;
Samuel;Marjorie;;;1;1;"Tiers temps";;;;;ghirkg@gmail.com;
Samuel;Marjorie;;;vh;fdhg;;;;;;on;
